counter = 47, factor = 150
467281.000000,354885.000000,0
533455.000000,271530.000000,0
440556.000000,419742.000000,0
426110.000000,379490.000000,0
554370.000000,280085.000000,0
516048.000000,397263.000000,0
529824.000000,306461.000000,0
553095.000000,316844.000000,0
454293.000000,381285.000000,0
514802.000000,363319.000000,0
494217.000000,346882.000000,0
459715.000000,360163.000000,0
513407.000000,340674.000000,0
425177.000000,300915.000000,0
451588.000000,275478.000000,0
493113.000000,373761.000000,0
459844.000000,295063.000000,0
536214.000000,318465.000000,0
454508.000000,418867.000000,0
434103.000000,276164.000000,0
544431.000000,314609.000000,0
443540.000000,319516.000000,0
516132.000000,301077.000000,0
514886.000000,315379.000000,0
517210.000000,290926.000000,0
443752.000000,440940.000000,0
412182.000000,411246.000000,0
531273.000000,407619.000000,0
420771.000000,303239.000000,0
453769.000000,375038.000000,0
502727.000000,357963.000000,0
479795.000000,326937.000000,0
497397.000000,375702.000000,0
527272.000000,410149.000000,0
436663.000000,378782.000000,0
575805.000000,402781.000000,0
531740.000000,313521.000000,0
519554.000000,290806.000000,0
539275.000000,378966.000000,0
471224.000000,414076.000000,0
412143.000000,398087.000000,0
547818.000000,302790.000000,0
428154.000000,422509.000000,0
432272.000000,409459.000000,0
431363.000000,275182.000000,0
488293.000000,326823.000000,0
483915.000000,343269.000000,0
467281.000000,354885.000000,1
533455.000000,271530.000000,-1
440556.000000,419742.000000,2
426110.000000,379490.000000,1
554370.000000,280085.000000,-1
516048.000000,397263.000000,3
529824.000000,306461.000000,4
553095.000000,316844.000000,4
454293.000000,381285.000000,1
514802.000000,363319.000000,1
494217.000000,346882.000000,1
459715.000000,360163.000000,1
513407.000000,340674.000000,1
425177.000000,300915.000000,-1
451588.000000,275478.000000,5
493113.000000,373761.000000,1
459844.000000,295063.000000,5
536214.000000,318465.000000,4
454508.000000,418867.000000,2
434103.000000,276164.000000,5
544431.000000,314609.000000,4
443540.000000,319516.000000,-1
516132.000000,301077.000000,4
514886.000000,315379.000000,4
517210.000000,290926.000000,4
443752.000000,440940.000000,2
412182.000000,411246.000000,2
531273.000000,407619.000000,3
420771.000000,303239.000000,-1
453769.000000,375038.000000,1
502727.000000,357963.000000,1
479795.000000,326937.000000,1
497397.000000,375702.000000,1
527272.000000,410149.000000,3
436663.000000,378782.000000,1
575805.000000,402781.000000,-1
531740.000000,313521.000000,4
519554.000000,290806.000000,4
539275.000000,378966.000000,-1
471224.000000,414076.000000,2
412143.000000,398087.000000,2
547818.000000,302790.000000,4
428154.000000,422509.000000,2
432272.000000,409459.000000,2
431363.000000,275182.000000,5
488293.000000,326823.000000,1
483915.000000,343269.000000,1
